Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM_30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe_2018,Depth_m,TrainCode
129,-1.256275412,1.390688511,-1.310713049,-0.794336967,-0.765452104,0.102666134,-2.182920092,-0.023121053,-0.548239301,-0.346111031,-116.2916978,40.15060681,Quartz Road Federal No. 1,-69.09364137,,,2768.193511,0
130,0.439172565,0.308274369,-1.553196274,-1.265341438,-0.49382438,0.892069703,-2.182920092,-0.363171819,-0.355310248,-0.359007127,-116.1739991,40.17460284,Three Bar Federal No. 36-C,-33.0730566,,,2076.602334,0
131,-0.383682216,2.114845148,-1.803441228,-0.512386202,-0.743468393,0.850165311,-0.711823278,-0.363171819,0.433263152,0.365753455,-114.9822377,40.16446844,Federal No. 1-4,-67.11723458,,,2764.231112,0
132,-0.420364415,-0.457493823,-1.406740298,-1.210629136,-0.776976732,0.800965935,-1.796738879,-0.672308879,-0.003442701,-0.467334331,-116.1878999,40.2400188,Big Pole Creek No. 1-11,-40.08881849,,,2503.01752,0
133,-0.431708093,0.763818147,-1.39866781,-1.089375337,-0.838013435,0.877340518,-1.200669798,-0.74444086,0.111925574,-0.462175893,-116.1755434,40.28948222,Three Bar Federal No. 24-13A,-40.38637453,,,3845.661477,0
134,-0.513001389,-0.090246168,-1.39866781,-0.818826052,-0.707489765,0.778440584,-0.87157264,-0.363171819,0.080408125,-0.575661536,-116.1456235,40.32980633,Pine Creek No. 1-7,-36.71061749,,,2956.559905,0
135,-1.267528806,1.627900058,-1.246016246,-0.08793123,-0.565756699,-0.099212799,-2.182920092,-0.4353038,0.426947316,-0.13719428,-114.7101229,40.31254428,Currie Federal No. 1,-54.10742742,,,2621.584716,0
136,-0.541265825,2.266714479,-1.465241513,-0.934727782,-1.009744913,0.588214134,-0.643046505,-0.517740349,-0.001992353,-0.294526648,-116.0863152,40.36313709,Southern Pacific Land Co. No. 2-27,-38.1934029,,,2644.444715,0
137,-1.030895869,-0.674991254,-2.041119661,0.626951913,-0.350783656,1.277005397,-1.074379181,-0.682613448,-0.28935769,-0.34869025,-115.7030587,40.38875267,U.S.A. Jiggs No. 1,-60.85172577,,,4143.755867,0
138,-0.954450299,-0.293295142,-1.867938361,0.084414129,-0.678823948,1.313786594,-1.074379181,-0.692918016,-0.594781471,-0.317739621,-115.7587212,40.40512911,Jiggs No. 10-1,-35.80283711,,,2830.677509,0
139,-0.71826985,-0.363289887,-1.449782495,-0.188743727,-0.612145746,0.643775739,-0.580014519,-0.043730191,-0.167834421,-0.650458891,-116.1268928,40.4130002,East Bailey Ranch No. 1,-17.07072058,,,2740.761512,0
140,-0.245950447,2.471689914,-1.537736893,-0.457516262,-0.953356799,0.509138737,-0.467806481,-0.208603289,-0.455964634,-0.304843525,-116.0820255,40.4622018,S.P. Land Company No. 1-23,-44.70583421,,,2177.49113,0
141,-1.524224512,-0.743701691,-1.113649368,2.177095203,1.117178129,0.726470785,-1.542368166,-0.950532233,0.323908707,0.04593028,-115.1731053,40.48969368,Ruby Valley Unit No. 1,-64.32343997,,,2743.199912,0
142,-1.398797525,-0.867123617,-1.39866781,3.043990794,2.474154603,0.837580071,-1.200669798,-0.785659134,0.424091409,0.007241992,-115.2347884,40.49966091,FRANKLIN #1,-81.91346338,,,3995.7,0
143,-0.190936694,-0.296762772,-1.175057057,1.45348684,-0.001921074,0.565688783,-0.711823278,-0.857791115,-0.475899643,0.10525232,-116.2167906,40.53751687,Palisades No. 1,-30.21890889,,,2897.428707,0
144,-1.365699186,0.146387441,-1.565201904,1.793972587,1.123230979,-0.98871357,-0.966195732,-0.754745428,-1.402222313,-0.397695414,-115.7090075,40.53971518,Huntington Creek No. 1,-15.06885649,,,2209.799929,0
145,-1.311365135,-1.248627083,-0.713858631,-0.861597845,-1.411630467,0.19762622,-0.580014519,-0.528044918,-1.340371053,0.22647562,-116.0646861,40.6489943,Petan Trust F-12-19-P,-61.95955376,,,2759.963912,0
