Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM-30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe,Depth_m,TrainCode
28,-1.022006321,0.758809349,-1.264523866,-0.315192181,1.09424993,-0.923657349,-0.467806481,-0.610481467,2.069601456,-1.143089749,-116.9369855,40.6482607,Battle Mountain City Well,89,yes,0,,1
66,-0.661649168,3.224229742,0.782782884,2.304218061,0.745315198,0.974472392,0.864711839,0.306625144,-1.216561288,-1.568660909,-119.3679777,40.66227622,Gerlach,192,no,0,,1
117,-0.667509852,0.832849661,0.054349197,0.59798778,-0.608538005,-0.582714306,0.738421223,-0.054034759,-1.756749626,-0.972861285,-115.5919969,38.47054234,"Nevada """"""""""""""""DK"""""""""""""""" Federal No. 1",-10.27692867,,,2193.34073,0
111,-1.510906092,0.447107982,0.016473559,-0.102593198,-0.920477472,-0.743649446,0.789511913,0.18297032,-1.842308703,-0.980598943,-115.6691882,38.48045645,Anderson D. Federal No. 1,-26.96513538,,,2167.432731,0
134,2.961233364,0.178430907,-0.178362891,-1.281442393,2.345228884,1.065074978,-0.170018255,-0.919618527,-1.188753542,-0.570503097,-115.0927968,38.49276294,White River Valley No. 1,-37.08660826,,,3183.635898,0
139,1.735222621,3.224229742,-0.250469277,-0.858427082,1.863954626,0.624842193,-0.170018255,-0.89900939,-1.189758672,-0.47249277,-115.0153163,38.49598067,"Gose """"""""""""""""BZ"""""""""""""""" Federal """"""""""""""""A"""""""""""""""" No. 1",-13.58430394,,,2134.209532,0
92,2.118379315,0.592684207,-0.311688186,-0.804523662,-0.962629766,-0.883966512,0.873607016,-0.97114137,-1.674144859,-0.178461786,-116.3021007,38.53325059,Hot Creek Federal No. 24-13,-25.34325872,,,2956.559905,0
137,1.573509111,1.900879562,-0.189480896,-0.824065681,1.808922108,0.496135846,-0.467806481,-0.723831722,-1.176237236,-0.415749948,-115.0339636,38.54810793,"Gose """"""""""""""""DL"""""""""""""""" Federal No. 1",-23.33795042,,,2154.021531,0
112,-1.497454118,2.226323016,-0.045807234,-0.081095425,-0.780027611,-0.184274538,0.519157735,-0.115862171,-1.89755942,-0.965123628,-115.658711,38.58171657,Lockes Unit No. 1,-63.09282087,,,2232.355129,0
144,-1.193919036,2.280649212,-0.363620613,-1.301794194,-1.144675301,-0.386334454,-1.542368166,1.223731755,-1.163222773,-0.018550199,-114.5715217,38.56645569,Saguaro Unit No. 1,-38.63924853,,,2112.263932,0
121,-0.385410038,2.098598661,-0.052316485,0.787963706,-0.168519734,-0.360607106,0.504901082,-1.032968782,-1.42028958,-0.895484711,-115.5168596,38.64083091,Blue Eagle No. 1,-40.05622878,,,2747.467112,0
116,-1.375359889,1.061713211,-0.123881946,0.580087811,-0.269045719,-0.418577169,0.444984844,0.090229202,-1.594689182,-0.918697683,-115.5941327,38.65530215,Duckwater Creek No. 8-12,-32.57559254,,,2101.291133,0
120,-0.724513178,0.440108507,-0.113221368,0.584405446,-0.10121252,-0.93698044,0.362734925,-0.486826643,-1.019281868,-0.833583451,-115.533033,38.69284937,Currant No. 1,-33.17522908,,,2375.611124,0
110,-1.228831986,0.269745152,-0.276940111,-0.648526621,-0.482929491,0.152102179,0.69488534,-0.81657284,-1.526227533,-0.384799319,-115.6907287,38.71499698,Roulette No. 1,-29.25656653,,,2087.879933,0
130,-0.710182336,0.730875666,0.067155323,-0.824267845,0.757493534,0.232987401,0.142339957,-0.4353038,-0.98153817,-0.469913551,-115.1556902,38.72354894,Cove Unit No. 1-18,-38.58196759,,,2168.956731,0
135,0.22125731,0.836060429,-0.039150953,-0.369320028,0.905376538,0.276367496,-0.325640324,-0.857791115,-0.982534475,-0.408012291,-115.0665851,38.7221089,White River No. 2,-19.77531212,,,2307.335926,0
115,-1.142319904,0.100922965,-0.439943672,-0.111745909,-0.250063738,-1.001131749,0.308719793,-0.713527154,-1.087592176,-0.756206876,-115.6056513,38.8018719,Koch No. 2-29,-37.72265607,,,2078.735933,0
119,1.224991097,-0.914771416,-0.60199063,-0.40226403,-0.367174534,-0.5203589,0.444984844,-1.043273351,-1.643686163,-0.260996799,-115.5631371,38.91174112,Duckwater Federal No. 9-1,-42.24861417,,,2161.031931,0
87,0.448570156,-0.73111548,1.0263623,-0.288453879,0.518793559,1.288588272,1.82885514,-0.229212427,0.470189037,-0.655617329,-118.0432884,38.93619727,Gigante No. 1-4,-36.08159472,,,1583.435949,0
133,0.403484469,-1.163991236,-0.645604066,-1.112020207,-0.020491704,0.710251975,0.01604934,-0.909313958,-0.804665433,-0.041763171,-115.1089003,38.97059101,Shields Federal No. 13-22,-60.53684113,,,2781.909511,0
142,1.697132789,-0.321228825,-0.236263644,-0.715607822,-0.753975899,0.30835962,-0.283636291,-0.445608369,-0.7193914,0.626254589,-114.7818205,39.00312243,Titan Federal No. 1-9,-65.98703017,,,2347.264725,0
132,0.291331997,-0.746013444,-0.500509115,-0.855503459,-0.745937714,0.01118648,0.250526887,-0.81657284,-0.783502681,0.930602449,-115.1341103,39.21877805,Giroux Wash No. 1-29,-38.21927297,,,2242.108728,0
127,1.378325512,-1.289532268,-0.813586678,-1.268894492,-0.949119803,0.462403506,0.118718128,-0.66200431,-0.697615123,0.930602449,-115.3353045,39.2826467,Moorman Ranch Unit No. 2,-38.0629754,,,2380.183124,0
85,-0.843594006,1.180896923,1.344890861,-0.62439779,2.165967661,-0.844999603,0.899665705,-0.363171819,1.888486264,-1.604769977,-118.668199,39.38395996,82-36,0,,,2742.7428,0
123,0.1602792,-1.01924981,-0.573083818,-1.304357339,-1.210578981,0.529283473,0.01604934,-0.74444086,-0.549075448,1.224633432,-115.4425646,39.41252587,Illipah Federal No. 1,-58.30973748,,,2318.613526,0
125,1.05178549,-1.173751971,-0.811780569,-1.195382039,-0.878785437,0.196846603,-0.135656066,-0.960836802,-0.525946542,0.732002574,-115.3493006,39.42700707,Federal White Pine Unit No. 1,-68.24961508,,,3374.745492,0
84,-1.160743362,-0.721418961,0.96504537,-1.466583468,1.695830648,-0.924729322,-0.243842997,-0.466217506,0.748863139,-1.571240128,-118.7825043,39.42731395,Reggie No. 1,-13.76695818,,,1879.09194,0
90,-0.996216861,0.345583494,-0.455207558,-1.238783263,-0.898590848,-0.488798349,0.209097299,-0.940227664,-0.091242808,0.231634059,-116.3337132,39.45032853,Twin Springs Federal No. 10-6,-17.29371993,,,2446.629522,0
113,-0.031460702,1.930418628,-1.014734523,-1.162639976,-1.180387362,1.219592203,0.187494727,-0.641395173,-1.213563541,0.002083554,-115.6324989,39.50051045,Marathon-Anadarko Keno Unit No. 23-33,-29.69280343,,,2225.039929,0
131,-1.098574689,0.294789143,-1.074323397,-0.258185685,-0.037488108,0.490246956,-0.643046505,-0.497131212,-0.427854186,0.345119701,-115.1278182,39.56330208,Bonanza Federal No. 1-32,-54.75594638,,,2088.489533,0
140,0.263156757,1.595150223,-1.169061503,0.519168459,-0.161232102,0.641019237,-1.200669798,0.316929713,-0.469325903,0.04593028,-114.8803927,39.56580828,Duck Creek No. 1,-59.81428782,,,2825.80071,0
89,-1.167275183,-0.135261136,-0.651162161,-0.816779448,0.251571826,-0.983576453,-0.325640324,-0.414694663,0.386667368,0.120727635,-116.3846008,39.61054413,Silver State Federal No. 33-18,-15.26910509,,,2773.984711,0
114,-0.825690716,-1.174650986,-1.073156234,-0.468040946,-0.532708134,0.903777873,-0.135656066,-0.569263192,-1.644966835,1.157573734,-115.6091834,39.64889817,Buck Mountain Unit No. 36-1,-42.28090516,,,2381.707124,0
118,-0.523790285,-0.724308652,-0.960346153,-0.962904621,-0.939435484,0.894589535,-0.370133788,-0.981445939,-1.711106033,0.791324615,-115.5477748,39.65940875,Yankee Mine Unit Federal No. 27-23X,-59.04263661,,,2033.015935,0
88,-0.711370798,-0.350832107,-0.811780569,-0.779292484,1.284551554,-0.377368863,-0.787486241,-0.569263192,0.510797465,0.203262648,-116.4044451,39.67371943,Willow Wash Federal No. 42-24,-42.4918469,,,2386.888724,0
105,-0.891596889,0.669614211,-1.134888841,2.355692362,0.94077385,0.840990894,0.32715422,-0.424999231,-0.455750853,-0.062396925,-115.9286037,39.71985918,Black Point No. 6-41,-28.21679197,,,2619.755916,0
122,-0.460834574,1.130873156,-0.953399442,-0.523135539,-0.335288117,1.114511024,-0.370133788,-1.012359645,-1.83489814,0.156836703,-115.452638,39.74377173,Long Jevity Federal No. 1,-31.36148261,,,2389.327124,0
124,-0.823529897,0.717904163,-1.030112766,-0.196457227,-0.114891478,1.106227597,-0.417394678,-1.032968782,-1.309137972,0.128465293,-115.3984661,39.81511283,Long Valley No. 35-88,-30.50624763,,,2155.240731,0
126,-0.569428575,2.781721682,-1.088614344,0.25727693,0.349022963,0.873164,-0.325640324,-0.795963703,-0.891104771,0.159415922,-115.3281203,39.82538203,Tommy Knocker Unit No. T61X-33G,-49.52449392,,,3546.652687,0
104,-1.134224057,0.219336093,-1.565201904,2.211996083,1.267337247,0.865214695,-0.52183902,-0.466217506,0.150755164,-0.10624365,-115.9324194,39.85053717,Diamond Valley Unit No. 1,-33.86162556,,,2450.591922,0
86,-0.373884629,-0.015820563,0.910499078,-0.620147168,1.5653554,-1.322751438,0.250526887,-0.703222585,0.102913997,-1.635720607,-118.2831077,39.90916793,Standard-Amoco-S.P. Land Co. No. 1,-32.26225917,,,3352.799893,0
83,1.327000187,1.701234001,0.434430662,-0.703576688,-0.547016831,0.059230352,-0.071265956,0.193274889,1.286356412,-1.150827407,-119.0817402,39.915596,Fireball Ridge,0,,,0,0
103,-1.193790699,1.316712414,-1.978423191,0.322176377,-0.198202914,1.002747416,-0.966195732,0.131447477,0.393731125,-0.147511157,-115.9571814,39.95212143,Diamond Valley Federal No. 1-24,-12.49662662,,,2707.843113,0
106,-0.459991892,2.033420069,-1.904630499,0.797678384,0.932638819,0.938999837,-0.966195732,-0.157080446,0.740056526,-0.111402088,-115.8810635,39.95366408,Diamond Federal 11-22,-56.03006861,,,2260.091928,0
141,-1.135596829,-0.838098273,-1.319329729,0.343494698,-0.551156981,1.081252023,-1.352376945,-0.486826643,0.081101746,-0.072713801,-114.7604949,39.94418549,Steptoe Federal No. 17-14,-5.055115444,,,3568.903086,0
93,-0.505081228,-0.944952636,-1.375399505,-0.311639127,-0.772303931,0.341354108,-1.796738879,-0.58987233,-1.556704554,-0.162986472,-116.2430516,40.03768001,Jackpot Federal No. 1,-37.85297771,,,2507.58952,0
